postId,skills,Job Title,rowType
45," Commercial Activities, Commercial Sales, Online Sales, Senior Management, Budgeting, Strategy Implementation, Marketing, E - commerce",Head / VP/ GM/ National Manager After Sales,Train
46," ODI, Matrix",Software Developer,Train
47," javascript, sql, php, php mysql, css, software development, technical, photoshop, mca, ajax, jquery, application, web, design, mysql, html",Software Developer,Train
48," Relationship management, Relationship building, Client relationship, Training, Analytical skills, Process mapping, Standard operating procedures, Agile, Management, Visa processing",Associate/Senior Associate -(NonTechnical),Train
49," android, btech, iphone, server, analytical, developing, ios, platforms, objective c, web, xml, design, json, programming, development, c, testing, mobile, xcode, application development, eclipse, application, sdk, applications",Software Developer,Train
50," cca, bpo, csr, international bpo, customer service, outbound process, customer care, tourism, customer support, fresher, voice process, inbound process, cse, bpo fresher, voice support, hotel, travel",Associate/Senior Associate -(NonTechnical),Train
51," bca, graphics, application development, b tech, core, b sc, application, b e, ios, publishing, animation",Software Developer,Train
52," Accounting, Continuous Improvement, Process Improvement, Load Balancing, Lean Six Sigma, Black Belt, Training, Green Belt, Process re - engineering, Process Excellence, Business Excellence, OTC",Team Leader -(NonTechnical),Train
54," Automobile, Digital Content, Content Development, Production, Web Content Writing",Content Developer,Train
55," Tourism, target achievement, negotiation skills, revenue management, Tour Packages",Sales/Business Development Manager,Train
56," PHP, Networking, Data structures, HTTP, JSON, Software design, Computer science, System design, Backend, Ticketing",Software Developer,Train
60," WebLogic, configuration, MySQL, installation, Oracle DBA, troubleshooting, Oracle RAC",DBA,Train
61," Service level, Data management, HR Coordinator, Management audit, HR operations, Human resource management",HR Executive,Train
63," Graphics, C++, Windows OS, Linux, high performance computing, Test cases, System software, Gaming, FreeBSD",Software Developer,Train
65," Sales, Team Building, Strategic Leadership, Real Estate, Field Sales, Sales Strategy, Enterprise Business, Go - to - market Strategy, Enterprise sales, Sales Executive Activities, Marketing",Head/VP/GM/National Manager -Sales,Train
66," Facility Management, facility services",Centre Head / Branch Head / Club Manager,Train
67,"sds, radiology, CPT, icd - 10, EM, medical coding, coders, surgery, ed",Associate/Senior Associate -(NonTechnical),Train
68," Market analysis, Public relations, CV, Relationship building, Market intelligence, Prospecting, Budgeting, Sales process, Branding",Sales/Business Development Manager,Train
69," ERP, MIS, Succession Planning, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",HR Executive,Train
70," revenue generation, marketing, ad sales, web technologies",Sales/Business Development Manager,Train
71," co ordination, team management, drafting, loans, online, coordination, quality",Project Architect,Train
72," English, PHP, XML, DOM, SOAP, Com, Web technologies, Written communication, Email, Time",Software Developer,Train
73," cloud, puppet, python, git, KVM, linux, jenkins, openstack, ansible",System Analyst,Train
74,"National, Branch, Vice President, J2Ee, Software",Software Developer,Train
75," Mentor, Android, Consulting, Usage, development, software, mobile, it, SIDE, Front end, Web technologies, Coding, web, backend, Open source, programming, Investment",Software Developer,Train
76," Performance Testing, Software Testing, Manual Testing, Quality Testing",Testing Engineer,Train
78," international bpo, bpo, kpo, web chat, non voice process, e mail, international call center, customer service representative, cse, interpersonal skills, ites, uk shift, customer service, e - commerce, customer care, customer support, bpo fresher",Associate/Senior Associate -(NonTechnical),Train
79," Innovative, Aggressive",Front Office/Guest Relations Executive/Manager,Train
80," Communication Skills, Detail Engineering, Material Handling, AutoCAD, Detailing, Design Engineering, Microstation, Bid Evaluation",Design Engineer,Train
81," design, android, erp, software, mvc, quality",Software Developer,Train
82," Technical Writing, Technical Documentation, Articles, Writing Skills, Product Support",Technical Writer,Train
83," Ansys, thermal, MATLAB, System design, Recruitment, MCCB, Electricals",Design Engineer,Train
84," Product placement, Market research, Distributor handling, Business Development Executive, Customer service, Customer Service Executive, Secondary sales, Supervision",Sales/Business Development Manager,Train
85," Management accounting, Accounting, VAT, Book Keeping, SAGE, Tax returns",Accounts Executive/Accountant,Train
86," Trade, Forex Trading, Forex, fx, Lead Generation, Accounting, Banking, Revenue Generation, Current Account",Sales/Business Development Manager,Train
87," XML, Javascript, PHP, development, css, technical, analytical, software, testing, HTML, tools, Joomla, coding, jQuery, web, MySQL, Wordpress, design, XHTML, debugging, Ajax",Software Developer,Train
88," zld, Engineering Management, knitting",Engineering Manager,Train
89," Analyst, ERP, Change management, Business objects, Managed services, Business process mapping, Executive management, Data mining, oracle project accounting, Testing",Accounts Executive/Accountant,Train
90," ERP, Succession Planning, MIS, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",Training Manager,Train
91," Intern, Linux, Windows, Unix, DNS, C++, Perl, IIS, Redhat, HTTP",Software Developer,Train
92," C, Woocommerce, Magento, Wordpress, MySQL, PHP, Shopify, JQuery, Web Development, Ajax",Software Developer,Train
93," CSS, Singleton, XML, Javascript, JDBC, Struts, JSON, HTML, Spring Boot, JQuery",Software Developer,Train
94," Business Development Management, Bd, Marketing, business development, Projects, business development manager, bdm, Tendering, Proposal",Sales/Business Development Manager,Train
95," Ethical Hacking, Certified Ethical Hacker, Networking Protocols, Penetration Testing, Nessus, NMAP, Fortify, Vulnerability Assessment, Appscan, Qualys",Testing Engineer,Train
96," Graphic designing, Graphics, adobe creative suite, Architecture, MS Office, Business Executive",Graphic Designer,Train
97," Payment collection, Costing, Business Development Executive, Lead generation, Sales, Vendor, Cost",Sales Executive/Officer,Train
98," Internship, Digital marketing, Social media, Relationship building, Animation, Creative, Indesign, Business Executive, Presentation skills, Senior",Client Servicing Executive,Train
99,"market penetration,marketing,customer satisfaction,enterprise business,web technologies,business development,strategy,aws,sales",Sales Executive / Officer,Train
100," jquery, git, microsoft sql server, net asp net, software, testing, ado.net, microsoft, tools, sql, unit tests, database, application, web, design, .net, object oriented programming, support, programming",Software Developer,Train
101,"technical recruitment, us staffing, us recruitment, us recruiter, us it staffing, technical recruiter, it recruiter, recruiter, w2, c2c, talent acquisition, recruitment, staffing, sourcing",Recruitment Executive,Train
103," Project Administration, Coordination",Sales Coordinator,Train
104," Order Management system, Sterling Commerce, Sterling, OMS, Sterling Integrator, ecommerce, E - commerce",Solution Architect / Enterprise Architect,Train
105," analytical, documentation, web development, algorithms, development, javascript, sql server, jquery, database, web, flex, design, mysql, net",Software Developer,Train
106, NCTVT,Workman/Foreman/Technician,Train
107," Drupal, Application programming, MySQL, Wordpress, PHP, CakePHP, Team Leader, MVC, Zend, Software services",Software Developer,Train
108," Outbound, Sales, Project management, Analytical, Sales Lead, Automation tools, Sales process, marketing automation",Sales Executive/Officer,Train
110,"AutoCAD, 3D Modeling, FMEA, Mechanical Engineering, Mechanical Design, SolidWorks",Design Engineer/Manager,Train
111, Automation Engineer,Technical Lead/Project Lead,Train
112," Revenue Cycle Management, US Healthcare, Payment Posting, Medical Billing, Medical Coding, us visa, Team Leading Skills, Healthcare, Denial Management, RCM",Team Leader -(NonTechnical),Train
114," Voice process, qaqc, Writing, Process operations, Verbal",Quality Assurance/Quality Control Executive,Train
117," Predictive Modeling, SAS, Data Management, Data Mining, Tableau, Data Analytics, Statistics, Analytics, SQL, Python",Analytics Manager,Train
118," molecular biology, chemistry, biotechnology, bhms, biology, Physiotherapy, microbiology, nursing, biomedical, Physics, medical coding, biochemistry, pharmacy, Ophthalmology, micro biology, Bioinformatics, zoology, biotech",Trainee,Train
119," accounts executive, accountant, Stock Management, gst, auditing, Statutory Compliance, accounting, Account Assistant, Bank Reconciliation, tax audit, banking, monthly reports, Payroll, salary processing, income tax, Income Tax Return, taxation",Accounts Executive/Accountant,Train
120," Informatica Power Center, Informatica",Software Developer,Train
121," digital marketing, seo specialist, advertising agency, online marketing, seo, seo expert, facebook marketing",Search Engine Optimisation /SEO Specialist,Train
122," Validation, Installation, Breakdown Maintenance, Industrial Safety, gmp, Boiler, Design, HVAC, Gensets, Air Compressor, Breakdown, RO, who",Engineering Manager,Train
123, Forecasting,Financial Analyst,Train
124," Pay Per Click, Google AdWords, Search Engine Marketing, PPC, SEM, Google Analytics, Website Analysis, Yahoo, Web Analytics, Marketing Initiatives",PPC /Pay Per Click Specialist,Train
125," marketing officer, pharma sales, Marketing Representative, marketing executive, pharma marketing, sales officer, sales representative, business development executive, Fresher, trainee, sales executive",Medical Representative,Train
126," Project management, PPAP, Automotive, External audit, Conflict resolution, Resource mobilization, PFMEA, Risk management, Project life cycle",Project Manager-Production/Manufacturing/Maintenance,Train
127," PR, Public Relations, Media Relations, Social Media, Marketing Communication, corporate communication, media relation, corp comm, Online Media, public relation, Journalism, Advertising, mass communication",Public Relations & Media Relations Manager,Train
128," counselling, couselling, fresher, student counsellor, student counseling",Fresher,Train
129," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",Fresher,Train
130," asp dot net, .net developer, Dot Net Developer, asp.net, asp . net",Software Developer,Train
131," Secondary Research, Valuation, Finance, Real Estate, Primary, Report Preparation, Business Development, Due Diligence, Financial Modelling",Other,Train
132," Teaching, Educator, Counselor, Mentor, Trainer, Advisor",Lecturer/Professor,Train
133," X - Ray, Medical Transcription, Ultrasound, CT Scan",Documentation/Medical Writing,Train
134," cms, javascript, wordpress, drupal, joomla, ajax, cakephp, zend, knowledge, xhtml",Software Developer,Train
135," Sales, Management, Sales management, Educational sales",Sales/Business Development Manager,Train
136," Outbound, Antivirus, Technical support, Technical Support Associate, process, Sales, Inbound calls, US shift, Comp",Associate/Senior Associate -(NonTechnical),Train
137," Technical support, English, Comp, Customer Care Executive, Inbound calls, Antivirus, Issue, Software",Associate/Senior Associate -(NonTechnical),Train
138,"C#,Application Development,Senior Level,MS SQL,Visual Basic,Power Bi,MSBI,SSIS,Recruitment,Data Integration",IT/Networking-Manager,Train
139," Escalation management, Field Sales Executive, Sales achievement, Training, Insurance sales",Sales Executive/Officer,Train
140," Team management, Salesforce, Usage, Sales, Skill development, Training, Productivity improvement, Training management, Sales budgeting, TSI",Sales Trainer,Train
141," Networking, Unix, Change management, Scheduling, Publishing, Incident management, VMware, Problem management, Remedy, SIP",Associate/Senior Associate -(Technical),Train
142," planning, training, training manager, trainer, faculty",Trainer,Train
143," Sales, Billing, MS Office, Business reporting, Insurance sales, MIS preparation, Usage, Corporate, Networking, Retail",Sales/Business Development Manager,Train
144," customer support, support service, field support, team, management, supervisor, self motivated, continuous improvement, give, enthusiastic",Technical Support Engineer,Train
145," Javascript, SQL, XML, server, css, technical, software, developing, HTML, tracking, database, web, Application development, net, programming, Ajax, development, DOM, solid, data integrity, Stored procedures, Reporting tools, application, applications",Software Developer,Train
146," Senior Design Engineer, Engineering Design, SACS",Senior Design Engineer,Train
147," C, Python, Six Sigma, PMP, .NET, HTML, JavaScript, SQL, Oracle, assembly language, Real Time Operating Systems",Head/VP/GM-Technology(IT)/CTO,Train
148," Technical Support Executive, Electrical engineering",Associate/Senior Associate -(Technical),Train
149," Data analysis, Automation, Google Analytics, Excel, Analytical, Business intelligence, Analytics, Product marketing, SQL, Data extraction",Business Analyst,Train
150,"Detail Design,Juniper,SMSC Engineer,Routing,IP Networking,Network Elements,Network Troubleshooting,High Level Design,Data Center,Switching",Software Developer,Train
151," assistant restaurant manager, restaurant, restaurant manager",Restaurant Manager,Train
152," layout, visualization, digital media, graphic design, html, illustration, tools, part time",Graphic Designer,Train
153," selling, accounts, events, prospecting, business operations, ideas, coordinating, tracking, closing, maintaining",Head/VP/GM/National Manager -Sales,Train
154,"photoshop, illustrator, seo, jquery, fireworks, css3, gui, usability, development, static",Web Designer,Train
155,"Photoshop, HTML, Wordpress, CSS3, bootstrap, Web technologies, html5, CSS",Graphic/Web Designer,Train
156, Python,Software Developer,Train
157,"server, multimedia, troubleshooting, graphics, audio, monitoring, javascript, jquery, user interface, css3",Graphic/Web Designer,Train
158," Senior management, MIS reporting, Building, Training, Management, Risk, Vice President, Focus, Trade, Associate Vice President",Head/VP/GM-Operations,Train
159," Sales Head, Tied Channel, Sales, Business Growth, Profitability, Business Operations, New Business, Alliances",Head/VP/GM/National Manager -Sales,Train
160, Project Management,Head/VP/GM-Operations,Train
161," QA, Life Sciences, development quality assurance, Life Cycle, Regulatory Affairs, DQA, QMS, Dmf",Research Scientist,Train
162," accounting, finance, financial reporting, statutory compliance, gst, vat",Accounts Manager,Train
163," Data analysis, Consumer research, Management, Head Business Development",Sales/Business Development Manager,Train
164," Testing, Quality, Manual Testing, ETL, BI, DW, Datawarehouse Testing",Testing Engineer,Train
165," assembly language, Six Sigma, PMP, C, JavaScript, .NET, HTML, Oracle, Python, SQL",Quality Assurance/Quality Control Executive,Train
166," Product management, Business process, Linkedin, Automation, CV, Email, GIT, Technical, SDLC, Ideas",Sales Executive/Officer,Train
167," ajax, javascript, php, erp, website, development, software development, module, mca, application development, application, web, programming",Software Developer,Train
169," customer service, customer care, team, communication, bpo, call center, inbound, voice, backend, non voice, telecalling, cse, cro, cce, data entry, back office, voice process, domestic bpo, fresher, trainee, Telemarketing, Outbound, sales, hardware, networking",Associate/Senior Associate -(NonTechnical),Train
170,"Oracle,Core Java,Business process,Outsourcing,Operations,spring integration,J2Ee,Spring framework,JEE,Manager Technology",Software Developer,Train
171," MS Office, Data entry",Associate/Senior Associate -(NonTechnical),Train
173," Customer relationship, Automobile, Proposal preparation, CRM strategy, Architecture, Database, Testing",Sales/Business Development Manager,Train
174,"Unix, Version control, Prototype, XML, MySQL, PHP, JSON, MVC, Ajax, CSS3",Software Developer,Train
175," Merchandising, Buyer Activities, Follow Ups, Vendor, purchase, vendor development, tracking",Merchandiser,Train
177," C#, Azure, Powershell, Script Writing, API, Debugging, Devops, Application Integration",Team Lead/Technical Lead,Train
180," operations management, mobilization, Resource Mobilization, general management, interview, Recruitment",Executive/ Sr Executive - Administration,Train
181," Customer Support Executive, Customer service, Business Executive, process",Associate/Senior Associate -(NonTechnical),Train
182," Staff Training, Day Care, Recruitment",DaycareTeacher / Incharge / Attendant,Train
183," process, Spot, Technical support, Night shift, International BPO",Associate/Senior Associate -(Technical),Train
184,"digital marketing,email marketing,adwords,display advertising,digital campaigns,google analytics,sem,seo",Social Media Marketing Manager,Train
185,"java, cisco call manager, visa, j2ee, sip, offshore, communication skills",Team Lead/Technical Lead,Train
187," Sales, Business Development, Change Management, Mobile, mobiles, handset, mobile handset, Marketing, Relationship Management, Distribution Management, channel management, dealer management, Retailer",Sales / BD Manager,Train
188," International Call Center, Technical Support, Maintenance, Communication Skills, PC Hardware, Technician Activities, Social Media, Analytical Ability, Soft Skills, Customer Satisfaction",Technical Support Engineer,Train
189," Illustrator, Corel Draw, Photoshop",Graphic Designer,Train
190," Manual testing, Informatica, microsoft, Process automation, System testing, PDF, Artificial Intelligence, Regression testing, Silicon, Analytics",Testing Engineer,Train
191," Technical Architecture, Fusion, Oracle Fusion",Team Lead/Technical Lead,Train
192," Layout design, Corel Draw, Web designing, Photoshop",Graphic/Web Designer,Train
193," Bpo Voice, Voice Process, International BPO",Associate/Senior Associate -(NonTechnical),Train
194,"HTML5, ASP",Software Developer,Train
195," Product training, Sales, Relationship, Banking, Recruitment",Sales/Business Development Manager,Train
196," Customer profitability, Receivable management, Education, Relationship building, Transportation, Service, Monitoring, Key accounts",Client Servicing/Key Account Manager,Train
197," Stores, warehouse, Logistics",Logistics Manager,Train
198," BPO, Outbound, English, Email, Inbound calls, Customer service, Troubleshooting, Technical support, Recruitment, Comp",Associate/Senior Associate -(NonTechnical),Train
199," Linux, Agile, Python, Computer science, Coding, Fixed income, Machine learning, Asset management, JIRA, Financial services",Software Developer,Train
200," English, MS Office, admin executive, Billing, Stock inventory, Writing, Office management, Management, Business Executive, Application",Executive/ Sr Executive - Administration,Train
201," Credit Officers, Risk Management, Administration, Report Generation, Analysts, analytical skills",Head/VP/GM-Finance/Audit,Train
202," Balance Sheet Finalisation, service tax, bank reconciliation, gst, income tax, taxation, financial auditing, finance, tax audit",Accounts Manager,Train
203," accounts payable, accounting, AP",Associate/Senior Associate -(NonTechnical),Train
204," Change management, Healthcare, Analyst, Business Analyst, Social media, Problem management, Software development life cycle, Scheduling, OEE",Software Developer,Train
205," Copyright, Customer Service Representative, CV, Customer service, Security, Troubleshooting, CCTV",Client Servicing/Key Account Manager,Train
206," CSS, jQuery, MySQL, Javascript, HTML, Web Development, Laravel, Codeigniter",Software Developer,Train
207," Networking, Telecom, LAN, WAN, Bss, VPN, Wireless, Telecommunication, Costing, Visio",Project Manager-IT/Software,Train
208," Teaching, Educator, Counselor, Mentor, Trainer, Advisor",Lecturer/Professor,Train
209," Business communication, Analytical skills, Business objects, Team management, management, Transition management, Trend analysis, Variance analysis, Analytics",Financial Analyst,Train
210," Usage, PDF, C, Social media, Cash handling, Database, Customer service, Merchandising, Advertising",Head/VP/GM/National Manager -Sales,Train
211," salesforce, salesforce.com, system design, application architecture",Technical Architect,Train
213,"Execution,Project Management,AO engagement,Monitoring Tools,Delivery Management,Stakeholder Management,System Monitoring",Project Manager-IT/Software,Train
214," Recruitment, Hiring, HR, Screening, Interviewing, Staffing",Fresher,Train
215," bca, cold calling, bidding, academic, customer service, documentation, selling, web development, seo, mba",Sales/Business Development Manager,Train
216," Java, Webservices, Spring, Hibernate, System Design, ESB, SQL, Spring Boot, Javascript",Software Developer,Train
217," Debugging, Troubleshooting, Python, Interpersonal skills, OOPS, Programming, developer",Software Developer,Train
218," Direct sales, Cold calling, English, Networking, Business Development Manager, Customer interfacing, Data collection, Service, Digital marketing, WHO",Sales/Business Development Manager,Train
219," build automation, Entity framework, MVC, microsoft, SQL",Software Developer,Train
220," Technical support, Outbound, Troubleshooting, RecruitmentEnglish, Antivirus, Comp, Customer Service Executive, Domestic BPO",Associate/Senior Associate -(NonTechnical),Train
221," Outbound, Medical, Technical support, Technical Support Associate, Email, Sales, US shift, Antivirus, Troubleshooting, Comp",Associate/Senior Associate -(Technical),Train
222," HR, Human Resource Management, Placement Coordination, recruitment executive, recruitment officer",Outside Consultant,Train
223," Strategic Sourcing, procurement, supply chain management, Packaging, Vendor Management",Purchase Executive,Train
224,Test Engineering,Software Developer,Train
225," Outbound, Technical Support Associate, Sales process, process, Senior, Technical, US shift, Technical support, International BPO",Associate/Senior Associate -(Technical),Train
226," Corporate Training, corporate trainer, technical trainer",Trainer,Train
227," java, mongodb, Hibernate, spring, jms",Software Developer,Train
228," Procurement, Supply chain management, Automation, Copyright, Chain, Purchase, Head Operations, Steel, Business Executive",Purchase/Vendor Development Manager,Train
229,"software development life cycle, css, html5, ui development, design patterns, svn, software engineering, angularjs, javascript",Software Developer,Train
230," good communication skill, good speeking manners, ability to face strangers, punctual, gopod efficiency",Telecalling/Telemarketing Executive,Train
232," Cash Handling, Cashier Activities, Day Book, Cashier, Restaurant, CSAT",Cashier,Train
233," C#, .Net, Asp.net",Fresher,Train
234," Excel, Sales, Conflict resolution, Analytical, Management Trainee, Power point presentation, MS Office",Trainee,Train
235," Manual testing, Eclipse, Coding, Scrum, Enterprise applications, Healthcare, JIRA, Android SDK, test driven development, Business Analyst",Testing Engineer,Train
236," Production Management, production control, production planning, Production Manager, Planning, Production Support, Organizing",Production Manager,Train
237," Outbound, Medical, Technical support, Technical Support Associate, Email, Technical, US shift, Antivirus, Troubleshooting, Comp",Associate/Senior Associate -(NonTechnical),Train
239," Digital media, PHP, Recruitment, Bengali, LMS, Business administration, Content Editor, Journalism, Literature, Administration",Content Developer,Train
240," Graphics, Simulation, Power management, Electronics, Hardware, Research, System analysis, Electricals",Software Developer,Train
241," Motion Graphics, Infographics, Illustrator, animations, infographics, Corel draw, Photoshop, CorelDRAW, Visual Designer",Visualiser,Train
242," Illustrator, Web designing, Photoshop, CSS, Web technologies, XML, Intranet, Business Executive",Graphic/Web Designer,Train
243," Tally, Retail, Accounts Executive, Retail Executive",Accounts Executive/Accountant,Train
244," Financial reporting, Due diligence, Data analysis, Accounting, International finance, Banking",Accounts Manager,Train
245," NSE, Lead generation, Compliance, Relationship, Equity, Client acquisition, Research, Revenue generation, Monitoring, HNI client handling",Sales Executive/Officer,Train
246,"MySQL, Javascript, UML, server, css, Technical writing, html5, bootstrap, microsoft, Technical support, sql, cloud, ui, web, design, asp.net, mvc, api, architecture, level, Visual Studio, quality, MS SQL, infrastructure, .net, agile, angularjs, aws",Software Developer,Train
247," MIS reporting, Trade, Operational risk, Banking, Relationship, Client relationship, Saving",Sales Officer,Train
248,"sales strategy, sales management, B2B Sales, corporate sales, institutional sales",Sales/Business Development Manager,Train
249,"soa, sql, relationship management, server, software, jquery, service oriented architectures, quality systems, software implementation, computer science, sql server 2008, design",Software Developer,Train
251, Art Director,Creative Director,Train
252," fresher, icse, inbound process, outbound, international bpo, uk process, bcom, communication skills, back office, cbse, web chat, chat process, Aviation, Guest Relations, Public Speaking, PR",Associate/Senior Associate -(NonTechnical),Train
255," Outbound, Telesales, Night shift, English, process, Technical, Inbound calls, Service, Printers, Business Executive",Associate/Senior Associate -(NonTechnical),Train
256," Outbound, Service, Technical support, process, Inbound calls, Domestic BPO, Bonus, Business Executive, Comp",Associate/Senior Associate -(Technical),Train
257," single sign - on, single sign on, IT Infrastructure, SSO",Solution Architect / Enterprise Architect,Train
258," layout, coordinating, material selection, ms, mep, photoshop, corel draw, co, monitoring, plumbing",Architect,Train
259,"coding,database design,test cases,analytical,nosql,cassandra",Software Developer,Train
260," accent, auditing, soft skills, training needs, customer service, process compliance",Voice & Accent Trainer,Train
261," Sales, Fresher, Marketing",Sales/Business Development Manager,Train
262," Java EE, Hibernate, Core Java, Software Development, Spring Mvc, Multithreading, OOD, JDBC, Spring Boot, JSF",Software Developer,Train
263," Virtualization, Cloud computing, Server architecture, Windows Troubleshooting, Customer satisfaction, Manager Technology, Deployment, Management",Technical Architect,Train
264," business development, sales, sales marketing, marketing executive, sales executive, sales officer, sales manager, area sales manager, territory sales manager, territory manager, area manager, regional manager, regional sales manager, regional business manager",Sales Executive/Officer,Train
265," Sales, Sale, Networking Sales, It Solution Sales, Structured Cabling, Passive Networking, Data Center, Cable Tray, cabling, Data Center Rack, data - centre rack, LAN, UTP Cables",Sales/Business Development Manager,Train
266," marketing executive, distributors, customer profiling, sales strategy, market research, Business Development, sales executive",Sales/Business Development Manager,Train
267," fundraising, finance",Finance/Budgeting Manager,Train
268," worldspan, travel sales consultants, galileo, amadeus, gds",Associate/Senior Associate -(NonTechnical),Train
269," Front end, Email, PDF, MIN, UI, phone, Strategic HR, Doc, Consultancy, Recruitment",Software Developer,Train
270," CVS, ERP, Rest, middle east, Technical, Customization, E-commerce, CRM, Open, WHO",Outside Technical Consultant,Train
271,"Java,Angular JS,Hibernate,Core Java,Technical Leader,Technical,Javascript,Spring,JQuery,JS framework",Software Developer,Train
272," senior management, ngo, key skills, Corporate Social Responsibility, Govt Liasioning, corporate pr, External Communications",CSR Manager,Train
273," Asp.Net MVC, entity framework, API",Software Developer,Train
274," Loans, Direct Sales Associate, Policies, Bfsi, Finance, Sanction, WHO",Sales Officer,Train
275," Monitoring, Senior Resident, RAM, DNB, Dmc",Surgeon,Train
276," Angularjs, CSS, Responsive Web Design, Javascript, Bootstrap, HTML, JSON, JQuery, Web Development, Grunt",Software Developer,Train
278," python, open source, database, Automation, java, linux, perl, Monitoring, nosql",Software Developer,Train
279," PR, international bpo, chat process, Aviation, back office, web chat, Guest Relations, Public Speaking, bcom, fresher, inbound process, outbound, uk process, icse, communication skills, cbse",Associate/Senior Associate -(NonTechnical),Train
280," QA, Functional testing",Testing Engineer,Train
281, Sales Engineering,Sales/Business Development Manager,Train
282,"Design Development,Software Engineering,Lighting,Computer Science,Product Quality,Automation Testing,Asset Management,GUI,Object Oriented Programming,Android",Software Developer,Train
283," NAV calculation, Fund accounting, Automation, Corporate actions, Accounting, Process improvement, Analytical, Reconciliation, Standard operating procedures, Subject Matter Expert",Accounts Executive/Accountant,Train
284," Networking, Secondary research, Recruitment, Analyst, Network security, Research, IPS, Advisory, Firewall",Business Analyst,Train
286," hiring, HRIS, procurement, HR, sourcing, Recruitment, staffing",Recruitment Executive,Train
287," Computer science, Continuous improvement",Software Developer,Train
