"postId","Job Title","skills","rowType"
"52","Speech Therapist","Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills","Train"
"53","Sales Manager","Sales strategy development Territory management Sales team leadership","Train"
"54","Social Worker","Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification","Train"
"56","Landscape Architect","Urban design and planning Zoning regulations GIS and mapping tools","Train"
"57","Key Account Manager","Account management Client relationship Sales strategy Business development Negotiation skills","Train"
"58","UX Researcher","User research methods Usability testing Data analysis and interpretation","Train"
"60","Investment Banker","Financial analysis Data analysis Financial modeling","Train"
"61","IT Support Specialist","Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills","Train"
"62","Art Director","Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness","Train"
"64","Software Developer","Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting","Train"
"65","Project Manager","Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)","Train"
"67","Customer Service Manager","Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis","Train"
"68","Procurement Manager","Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen","Train"
"69","Substance Abuse Counselor","Family counseling Marriage and family therapy Conflict resolution skills","Train"
"70","Supply Chain Analyst","Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving","Train"
"71","Data Engineer","Data architecture design Database management systems Data modeling","Train"
"77","Technical Writer","Document management Recordkeeping Attention to detail Data entry Organizational skills","Train"
"78","Accountant","Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge","Train"
"79","Sales Representative","Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building","Train"
"82","Purchasing Agent","Inventory control Demand forecasting Supply chain management Data analysis Warehouse management","Train"
"83","QA Analyst","Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review","Train"
"86","Environmental Consultant","Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication","Train"
"87","Electrical Engineer","Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting","Train"
"88","Systems Engineer","Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting","Train"
"89","Brand Manager","Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration","Train"
"91","Nurse Practitioner","Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning","Train"
"92","Litigation Attorney","Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing","Train"
"93","Network Engineer","Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery","Train"
"94","Psychologist","Research methodology Data analysis Psychological studies Writing research reports Critical thinking","Train"
"95","Art Teacher","Art education curriculum Program development Teacher training Communication skills Artistic expertise","Train"
"96","Human Resources Manager","Talent sourcing Interviewing Onboarding Recruitment strategies HR software","Train"
"98","Inventory Analyst","Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills","Train"
"99","Legal Counsel","Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills","Train"
"100","Database Developer","SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills","Train"
"101","Procurement Specialist","Procurement strategies Supplier management Negotiation Cost analysis Supply chain management","Train"
"102","Systems Analyst","IT systems analysis Troubleshooting IT support and documentation","Train"
"104","Account Executive","Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge","Train"
"105","Copywriter","Creative writing Copywriting Advertising copy Content creation Brand storytelling Marketing campaigns Proofreading and editing","Train"
"107","Digital Marketing Specialist","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Train"
"110","Sales Representative","Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting","Train"
"113","Project Manager","Construction management Budgeting Contract negotiation Safety regulations","Train"
"115","Technical Writer","Instructional design eLearning tools Curriculum development Multimedia design Learning theory knowledge","Train"
"116","Content Writer","Content strategy Content planning SEO optimization Content marketing Analytics","Train"
"117","HR Coordinator","Training program coordination Training material development Learning management systems","Train"
"118","HR Coordinator","Recruitment process Candidate screening Applicant tracking systems Communication","Train"
"119","Business Development Manager","Partnership development Negotiation and collaboration Business development","Train"
"120","Java Developer","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)","Train"
"121","Sales Manager","Sales leadership Team management Sales strategy and planning","Train"
"122","Speech Therapist","Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills","Train"
"123","Data Engineer","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","Train"
"124","Database Developer","NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems","Train"
"125","Supply Chain Manager","Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency","Train"
"126","Wedding Planner","Wedding design concepts Decor selection and arrangement Creative flair","Train"
"127","Event Coordinator","Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail","Train"
"129","Investment Analyst","Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization","Train"
"130","Family Nurse Practitioner","Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology","Train"
"131","Front-End Engineer","JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting","Train"
"132","Customer Success Manager","Account management Customer relationship management Sales and negotiation Business development Client needs analysis","Train"
"133","Procurement Coordinator","Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations","Train"
"135","Urban Planner","Transportation planning Traffic engineering GIS proficiency Public transportation Project management","Train"
"137","Speech Therapist","Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills","Train"
"138","HR Coordinator","Employee benefits administration Benefits compliance HRIS Benefits communication","Train"
"139","Architectural Designer","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Train"
"140","Financial Analyst","Financial analysis Investment evaluation Portfolio management Data analysis","Train"
"141","Email Marketing Specialist","Email marketing strategies Email marketing platforms (e.g., MailChimp, HubSpot) Audience segmentation A/B testing Campaign analytics Copywriting HTML/CSS for email Marketing automation Communication skills Data analysis Attention to detail","Train"
"142","Environmental Engineer","Sustainability practices Environmental management systems Green certifications","Train"
"143","Back-End Developer","Server-side programming languages (e.g., Java, Python) Database management API development","Train"
"144","Network Administrator","System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge","Train"
"145","Structural Engineer","Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills","Train"
"146","Market Research Analyst","Market research coordination Survey design and administration Data analysis","Train"
"147","Customer Service Representative","Customer service Call center operations Problem-solving skills","Train"
"148","Customer Support Specialist","Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy","Train"
"149","Landscape Architect","Environmental design principles Sustainability concepts CAD and design software","Train"
"152","Business Analyst","Business process analysis Requirement gathering Data analysis Communication skills","Train"
"154","Social Media Manager","Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification","Train"
"157","Family Lawyer","Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation","Train"
"159","Data Analyst","Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)","Train"
"161","Registered Nurse","Clinical nursing specialization (e.g., critical care, oncology) Advanced nursing skills Patient education","Train"
"165","Chemical Analyst","Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis","Train"
"168","Electrical Engineer","Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations","Train"
"169","Network Technician","Network security Cybersecurity Intrusion detection Security analysis Firewall management","Train"
"171","Interior Designer","Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency","Train"
"172","Substance Abuse Counselor","Addiction counseling techniques Substance abuse treatment Counseling ethics","Train"
"173","Software Architect","Cloud computing platforms (AWS, Azure, etc.) Cloud security Containerization (Docker, Kubernetes)","Train"
"174","Business Analyst","Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau)","Train"
"177","Nurse Manager","Nursing management Patient care coordination Staff supervision Compliance with healthcare regulations Quality improvement Leadership skills","Train"
"178","Veterinarian","Veterinary medicine Small animal care and surgery Animal diagnostics Preventive medicine Client communication Surgical skills Radiology Anesthesia Laboratory diagnostics Compassion and empathy Problem-solving Attention to detail","Train"
"179","Process Engineer","Chemical engineering Process design Chemical reactions Safety protocols Laboratory techniques Problem-solving skills","Train"
"180","Research Analyst","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail","Train"
"181","IT Manager","Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management","Train"
"182","Quality Assurance Analyst","Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing","Train"
"184","Project Manager","Project management Team leadership Risk management Budgeting Communication skills","Train"
"186","Account Manager","Client relationship management Customer service Communication skills","Train"
"187","Web Developer","Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)","Train"
"190","Pharmaceutical Sales Representative","Medical product knowledge Understanding of healthcare regulations Relationship building with healthcare professionals Sales forecasting and planning Medical sales techniques","Train"
"191","Office Manager","Office administration Calendar management Reception duties Communication skills Record keeping Office supplies management","Train"
"195","Legal Assistant","Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency","Train"
"199","Architect","Architectural project management Construction documents Building systems Design coordination Client communication","Train"
"201","Software Tester","Performance testing methodologies Load testing tools (e.g., JMeter) Test script development Performance profiling and analysis Bottleneck identification","Train"
"203","Pharmaceutical Sales Representative","Sales leadership Territory management Team management Sales data analysis Strategic planning and execution","Train"
"204","IT Support Specialist","Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills","Train"
"206","Teacher","Special education strategies Individualized education plans (IEPs) Behavior management techniques Collaboration with support staff Special education laws and regulations knowledge","Train"
"209","Quality Assurance Analyst","Test automation frameworks and tools Scripting and programming languages (e.g., Python, Java) Continuous integration and continuous testing (CI/CT) Test script development and maintenance Test environment setup and management","Train"
"210","Physician Assistant","Surgical procedures and techniques Operating room protocols Anesthesia management","Train"
"212","Data Entry Clerk","Office management Administrative tasks Communication and organization","Train"
"213","Data Analyst","Data quality assessment and improvement Data profiling and validation Knowledge of data quality tools (e.g., Informatica, Talend) Data governance principles SQL for data analysis Attention to detail and data accuracy","Train"
"214","Accountant","Tax preparation Tax planning Tax regulations Accounting Tax software proficiency","Train"
"215","Veterinarian","Equine veterinary medicine Horse anatomy and physiology Lameness evaluation Equine surgery Dentistry for horses Emergency equine care Equine reproductive health Compassion and empathy Client communication Problem-solving Attention to detail","Train"
"216","Investment Banker","Investment analysis Portfolio management Risk assessment","Train"
"217","Marketing Director","Brand strategy Brand development Creative direction Brand management Market research","Train"
"218","Operations Manager","Operations management Strategic planning and execution Budgeting and financial analysis Leadership and team management Process improvement and optimization","Train"
"220","Sales Manager","Key account management Relationship building Sales negotiation","Train"
"221","Front-End Developer","Web accessibility standards (e.g., WCAG) Assistive technologies Accessibility testing tools HTML and CSS for accessibility ARIA (Accessible Rich Internet Applications) User experience (UX) for accessibility Usability testing with individuals with disabilities Collaboration Attention to detail","Train"
"223","Research Scientist","Research methodologies and data analysis Literature review and synthesis Statistical analysis software (e.g., SPSS, R) Research proposal development Strong communication and reporting skills","Train"
"225","Java Developer","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills","Train"
"227","Interior Designer","Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering","Train"
"228","Executive Assistant","Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations","Train"
"230","HR Manager","Strategic HR planning Employee relations Talent management HR policy development Leadership skills","Train"
"231","Executive Assistant","Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality","Train"
"233","Pharmaceutical Sales Representative","Sales techniques and strategies Relationship building CRM software usage Product knowledge Negotiation and closing skills","Train"
"235","Litigation Attorney","Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation","Train"
"237","Veterinarian","Exotic animal medicine Exotic animal diagnostics Specialized surgical skills Avian medicine Reptile care Amphibian care Exotic animal anesthesia Compassion and empathy Client communication Problem-solving Attention to detail","Train"
"238","Marketing Manager","Brand strategy development Brand identity and design Brand storytelling Marketing campaigns Brand performance measurement Creative thinking Strong communication skills","Train"
"239","Procurement Specialist","Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation","Train"
"245","Human Resources Manager","Employee conflict resolution HR compliance Employee engagement Communication skills","Train"
"246","Art Teacher","Artistic skills Teaching ability Communication skills Art history knowledge Creativity","Train"
"247","Public Relations Specialist","Brand management Public relations Brand storytelling Influencer marketing Media monitoring","Train"
"248","Financial Controller","Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning","Train"
"250","Network Engineer","Network management Troubleshooting Network security IT certifications (e.g., CCNA)","Train"
"251","Environmental Consultant","Environmental impact analysis Data collection and analysis Environmental regulations Reporting GIS (Geographic Information Systems) Technical writing","Train"
"252","Investment Advisor","Financial planning Investment knowledge Relationship management Communication skills Analytical skills","Train"
"253","Financial Analyst","Financial planning Investment strategy Retirement planning Tax knowledge","Train"
"254","Aerospace Engineer","Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management","Train"
"255","Procurement Specialist","Procurement processes Purchase order management Vendor communication Data analysis Inventory control","Train"
"258","Market Research Analyst","Market research methodologies Data collection and analysis Industry knowledge","Train"
"259","Operations Manager","Supply chain logistics and management Inventory control and procurement Supplier relationship management Data analysis and forecasting Risk assessment and mitigation","Train"
"260","Marketing Analyst","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen","Train"
"264","Procurement Manager","Strategic sourcing strategies Supplier evaluation and selection Negotiation skills Vendor management Cost analysis Supply chain management Contract management Problem-solving Attention to detail Communication skills Strategic thinking","Train"
"267","Paralegal","Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills","Train"
"274","Landscape Designer","Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management","Train"
"278","Urban Planner","Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement","Train"
"279","Web Designer","Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills","Train"
"281","Occupational Therapist","Pediatric assessment and evaluation Occupational therapy techniques for children Developmental milestones Sensory integration therapy Pediatric psychology Family-centered care Individualized treatment plans Communication skills Pediatric healthcare knowledge","Train"
"284","Art Director","Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation","Train"
"285","Architect","Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment","Train"
"286","Public Relations Specialist","Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication","Train"
"287","HR Manager","Employment law knowledge Compliance management Auditing skills Employee relations Communication skills","Train"
"289","Social Worker","Child welfare policies and regulations Child protective services Child development Crisis intervention Case management Cultural competence Interviewing and assessment skills Court procedures Documentation Empathy Communication skills","Train"
"291","Account Executive","Advertising and marketing knowledge Client relationship management Advertising campaign development Budget management Media planning and buying","Train"
"293","Legal Advisor","In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling","Train"
"295","Civil Engineer","Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management","Train"
"296","Marketing Coordinator","Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency","Train"
"297","Dental Hygienist","Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience","Train"
"298","Office Manager","Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills","Train"
"299","SEM Specialist","Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management","Train"
"300","SEO Specialist","Technical SEO audits Website crawl analysis Schema markup XML sitemaps Canonicalization","Train"
"302","Event Coordinator","Corporate event planning Corporate branding and messaging Speaker and entertainment booking Audiovisual production Team coordination Crisis management Budgeting and financial management Client communication Creativity Problem-solving Attention to detail","Train"
"303","Front-End Engineer","UI/UX design Frontend web development Wireframing and prototyping User research Accessibility standards Responsive design Collaboration skills","Train"
"306","Pediatrician","Pediatric surgery Surgical procedures for children Operating room protocols Patient care Surgical techniques Pediatric anesthesia","Train"
"311","Executive Assistant","Project management Communication Time management Organization Problem-solving","Train"
"315","QA Engineer","Quality assurance Process improvement Team leadership Problem-solving Quality control","Train"
"318","Investment Banker","Mergers and acquisitions (M&A) expertise Due diligence Valuation techniques","Train"
"323","Process Engineer","Industrial engineering Process optimization Lean manufacturing Quality control Data analysis Workflow design","Train"
"328","Copywriter","SEO (Search Engine Optimization) Keyword research SEO-friendly content On-page optimization Meta tags SEO tools (e.g., SEMrush)","Train"
"329","Marketing Manager","Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration","Train"
"330","Data Scientist","Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation","Train"
"332","Marketing Coordinator","Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency","Train"
"334","Architect","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design","Train"
"335","Software Engineer","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization","Train"
"336","Database Administrator","Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance","Train"
"337","SEO Specialist","Content strategy SEO content optimization Content marketing Keyword mapping Analytics","Train"
"339","Customer Service Representative","Live chat support Online customer communication Problem resolution","Train"
"341","Legal Counsel","Intellectual property law Trademark and patent law Copyright law IP portfolio management Litigation and dispute resolution","Train"
"342","Financial Advisor","Wealth management strategies Asset allocation Estate planning Tax management Client relationship management","Train"
"343","Art Teacher","Art instruction Classroom management Art techniques Lesson planning Student assessment","Train"
"344","Data Engineer","ETL (Extract, Transform, Load) processes Data integration SQL and scripting languages","Train"
"346","Personal Assistant","Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality","Train"
"357","Customer Support Specialist","Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation","Train"
"360","Paralegal","Corporate legal tasks Document drafting Compliance Corporate governance Contract management Due diligence Entity formation Communication with stakeholders Attention to detail Technology proficiency Legal software proficiency Legal research skills","Train"
"362","SEO Analyst","Technical SEO Website audits SEO tools (e.g., Screaming Frog, Ahrefs) Schema markup Site speed optimization XML sitemaps Canonicalization","Train"
"363","Nurse Practitioner","Nursing care Patient assessment Health promotion Medication administration Electronic health records (EHR)","Train"
"364","Financial Controller","Accounting Financial reporting Financial audits Tax compliance Accounting software (e.g., SAP, Oracle) GAAP (Generally Accepted Accounting Principles)","Train"
"365","Supply Chain Manager","Supply chain management Inventory control Transportation logistics Vendor relations Team leadership and management","Train"
"367","Family Nurse Practitioner","Medical diagnosis Patient care Medical record-keeping Communication skills Empathy and compassion","Train"
"372","Social Media Manager","Social media marketing strategy development Content planning and creation Social media advertising and targeting Data-driven decision-making Social media trends and platform updates","Train"
"373","UI Developer","User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma","Train"
"374","Customer Service Manager","Customer support Team leadership Customer satisfaction Issue resolution Performance metrics Training and development","Train"
"375","Occupational Therapist","Geriatric assessment and evaluation Geriatric-specific occupational therapy techniques Aging-related conditions (e.g., dementia, arthritis) Fall prevention strategies Care coordination with healthcare teams Assistive technology for seniors Patient advocacy Empathy and compassion Communication skills","Train"
"379","UX/UI Designer","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows","Train"
"380","Network Analyst","Network performance analysis Network monitoring tools (e.g., Wireshark) Troubleshooting Capacity planning Data analysis Network protocols","Train"
"384","Systems Administrator","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery","Train"
"388","Mechanical Designer","Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable)","Train"
"390","Front-End Developer","User interface (UI) design User experience (UX) design Web design principles Prototyping and wireframing Front-end development languages (e.g., HTML, CSS, JavaScript) Interaction design User testing Responsive design Usability testing Collaboration Attention to detail","Train"
